Localidad: Cumbres,DV,DR,RV,RR,TEMP,HR,PA,Precipitación ,RS,Fecha,Hora
Localidad: Cumbres,1,336,9.3,19.1,24.4,100,930.5,0,0,18/06/2026,0.888888889
Localidad: Cumbres,5,9,10.8,22,24.5,100,930.3,0,0,19/06/2026,0.881944444
Localidad: Cumbres,353,33,10.1,26.3,24.7,97,930.3,0,0,20/06/2026,0.875
Localidad: Cumbres,349,328,12.2,26.6,24.9,92,930.2,0,0,21/06/2026,0.868055556
Localidad: Cumbres,352,331,12.5,31.3,25.1,89,930.1,0,0,22/06/2026,0.861111111
Localidad: Cumbres,350,13,13.2,24.1,25.1,84,929.9,0,0,23/06/2026,0.854166667
Localidad: Cumbres,352,354,9.3,22,25.3,78,929.9,0,0,24/06/2026,0.847222222
Localidad: Cumbres,11,31,10.3,23.4,25.3,74,929.8,0,0,25/06/2026,0.840277778
Localidad: Cumbres,5,356,7.6,15.8,25,74,929.7,0,0,26/06/2026,0.833333333
Localidad: Cumbres,358,355,6.3,12.6,25.1,75,929.6,0,0,27/06/2026,0.826388889
Localidad: Cumbres,359,25,7.7,17.6,25.2,71,929.6,0,0,28/06/2026,0.819444444
Localidad: Cumbres,351,342,9.6,21.2,25,72,929.5,0,0,29/06/2026,0.8125
Localidad: Cumbres,351,347,8.1,16.9,25.2,71,929.4,0,0,30/06/2026,0.805555556
Localidad: Cumbres,352,344,7.6,15.5,25.2,69,929.5,0,0,01/07/2026,0.798611111
Localidad: Cumbres,347,19,7.2,17.3,25.1,68,929.4,0,0,02/07/2026,0.791666667
Localidad: Cumbres,350,14,6.4,15.8,24.7,72,929.3,0,0,03/07/2026,0.784722222
Localidad: Cumbres,340,357,4.5,20.2,25.1,70,929.4,0,0,04/07/2026,0.777777778
Localidad: Cumbres,326,23,7.1,15.8,25.4,67,929.3,0,0,05/07/2026,0.770833333
Localidad: Cumbres,350,15,6.1,11.9,25.7,67,929.3,0,0,06/07/2026,0.763888889
Localidad: Cumbres,307,277,7.3,19.1,26,62,929.2,0,0,07/07/2026,0.756944444
Localidad: Cumbres,341,20,7.2,20.5,26.3,62,929.1,0,0,08/07/2026,0.75
Localidad: Cumbres,349,343,9.6,22.3,26.4,58,929.1,0,0,09/07/2026,0.743055556
Localidad: Cumbres,1,43,10.4,20.5,26.4,58,929,0,0,10/07/2026,0.736111111
Localidad: Cumbres,349,31,9.1,26.6,26.5,58,929,0,0,11/07/2026,0.729166667
Localidad: Cumbres,319,314,7,21.2,26.7,58,929.1,0,0,12/07/2026,0.722222222
Localidad: Cumbres,8,32,11.1,28.1,27,56,929.1,0,0,13/07/2026,0.715277778
Localidad: Cumbres,321,23,8.8,26.3,27.6,56,929.2,0,0,14/07/2026,0.708333333
Localidad: Cumbres,354,346,10.9,30.6,28.3,55,929.2,0,0,15/07/2026,0.701388889
Localidad: Cumbres,359,2,10.9,31.3,28.9,55,929.3,0,0,16/07/2026,0.694444444
Localidad: Cumbres,310,351,7.4,16.9,29.4,54,929.4,0,0,17/07/2026,0.6875
Localidad: Cumbres,346,316,6,19.1,29.2,53,929.4,0,0,18/07/2026,0.680555556
Localidad: Cumbres,152,242,6.2,17.6,28.8,54,929.6,0,0,19/07/2026,0.673611111
Localidad: Cumbres,28,25,9.7,27,29.1,55,929.7,0,0,20/07/2026,0.666666667
Localidad: Cumbres,41,53,12.3,33.1,29.3,54,929.9,0,0,21/07/2026,0.659722222
Localidad: Cumbres,24,14,9.5,29.2,29.8,54,930,0,0,22/07/2026,0.652777778
Localidad: Cumbres,28,23,9.4,26.6,29.8,55,930,0,0,23/07/2026,0.645833333
Localidad: Cumbres,32,33,9.8,22.3,29.5,57,930.2,0,0,24/07/2026,0.638888889
Localidad: Cumbres,32,18,10.7,28.4,29.4,56,930.4,0,0,25/07/2026,0.631944444
Localidad: Cumbres,35,58,11.5,27.7,29.1,57,930.5,0,0,26/07/2026,0.625
Localidad: Cumbres,31,57,10.7,29.9,29.2,57,930.7,0,0,27/07/2026,0.618055556
Localidad: Cumbres,28,55,9.8,29.9,28.5,59,930.8,0,0,28/07/2026,0.611111111
Localidad: Cumbres,39,28,7.8,21.2,29.2,58,930.9,0,0,29/07/2026,0.604166667
Localidad: Cumbres,49,60,5.6,17.6,29,60,930.9,0,0,30/07/2026,0.597222222
Localidad: Cumbres,9,55,5.6,17.3,28.9,61,931,0,0,31/07/2026,0.590277778
Localidad: Cumbres,58,49,4.1,13.7,28.8,61,931.1,0,0,01/08/2026,0.583333333
Localidad: Cumbres,86,82,4,11.2,28.6,62,931.2,0.2,0,02/08/2026,0.576388889
Localidad: Cumbres,44,68,4.9,15.8,28.8,61,931.3,0,0,03/08/2026,0.569444444
Localidad: Cumbres,49,63,5.1,13.7,28.7,61,931.4,0,0,04/08/2026,0.5625
Localidad: Cumbres,78,85,5.4,13.7,28.5,62,931.6,0,0,05/08/2026,0.555555556
Localidad: Cumbres,93,78,5,11.5,28.5,61,931.6,0,0,06/08/2026,0.548611111
Localidad: Cumbres,64,125,4.3,13.3,28.5,62,931.6,0,0,07/08/2026,0.541666667
Localidad: Cumbres,87,103,3.6,11.9,28.8,60,931.7,0,0,08/08/2026,0.534722222
Localidad: Cumbres,64,61,5.3,18.4,28.6,61,931.9,0,0,09/08/2026,0.527777778
Localidad: Cumbres,62,50,4.7,13.3,28.6,61,932.1,0,0,10/08/2026,0.520833333
Localidad: Cumbres,64,22,4.6,14.4,28.4,62,932.2,0,0,11/08/2026,0.513888889
Localidad: Cumbres,80,85,3.8,12.2,28.4,62,932.3,0,0,12/08/2026,0.506944444
Localidad: Cumbres,79,70,6.6,16.2,28.5,62,932.5,0,0,13/08/2026,0.5
Localidad: Cumbres,90,83,4.4,14.8,28.3,63,932.6,0,0,14/08/2026,0.493055556
Localidad: Cumbres,74,71,5.6,15.1,28,64,932.7,0,0,15/08/2026,0.486111111
Localidad: Cumbres,54,34,6.1,14,27.7,65,932.9,0,0,16/08/2026,0.479166667
Localidad: Cumbres,85,63,7.3,16.6,27.6,65,932.9,0,0,17/08/2026,0.472222222
Localidad: Cumbres,85,67,7.3,15.8,27.5,65,933,0,0,18/08/2026,0.465277778
Localidad: Cumbres,72,44,5.4,14,27.3,66,933.1,0,0,19/08/2026,0.458333333
Localidad: Cumbres,84,46,4.5,14.4,27,67,933.1,0,0,20/08/2026,0.451388889
Localidad: Cumbres,94,61,4.9,11.5,26.5,67,933,0,0,21/08/2026,0.444444444
Localidad: Cumbres,114,69,4.4,12.2,26.1,69,933.1,0,0,22/08/2026,0.4375
Localidad: Cumbres,93,65,4.2,10.8,26.1,69,933.2,0,0,23/08/2026,0.430555556
Localidad: Cumbres,88,59,5.7,14,25.6,72,933.2,0,0,24/08/2026,0.423611111
Localidad: Cumbres,82,81,4.6,11.2,25.2,77,933.2,0,0,25/08/2026,0.416666667
Localidad: Cumbres,79,63,6.3,13,24.7,92,933.2,0,0,26/08/2026,0.409722222
Localidad: Cumbres,76,62,4.3,12.6,24.2,97,933.2,0,0,27/08/2026,0.402777778
Localidad: Cumbres,85,52,5.7,11.2,23.5,100,933.2,0,0,28/08/2026,0.395833333
Localidad: Cumbres,82,99,5.8,11.2,23.2,100,933.1,0,0,29/08/2026,0.388888889
Localidad: Cumbres,68,65,4.9,13,22.7,100,933,0,0,30/08/2026,0.381944444
Localidad: Cumbres,91,85,4.3,8.3,22.1,100,933,0,0,31/08/2026,0.375
Localidad: Cumbres,89,71,3.4,6.8,21,100,933,0,0,01/09/2026,0.368055556
Localidad: Cumbres,86,64,2.9,5.8,19.9,65,933,0,0,02/09/2026,0.361111111
Localidad: Cumbres,97,82,2.9,6.5,19,0,933.1,0,0,03/09/2026,0.354166667
Localidad: Cumbres,108,92,2.5,6.1,18.3,0,933.1,0,0,04/09/2026,0.347222222
Localidad: Cumbres,102,87,3,6.5,17.8,0,933.1,0,0,05/09/2026,0.340277778
Localidad: Cumbres,123,109,2.5,5,17.4,0,933,0,0,06/09/2026,0.333333333
Localidad: Cumbres,94,90,1.9,5,17.3,0,932.9,0,0,07/09/2026,0.326388889
Localidad: Cumbres,93,51,0.5,2.5,16.7,0,932.8,0,0,08/09/2026,0.319444444
Localidad: Cumbres,183,220,0.8,3.2,16.3,0,932.8,0,0,09/09/2026,0.3125
Localidad: Cumbres,22,346,1.1,3.2,16,0,932.5,0,0,10/09/2026,0.305555556
Localidad: Cumbres,201,189,4,7.6,15.5,0,932.3,0,0,11/09/2026,0.298611111
Localidad: Cumbres,288,320,3,6.5,15.3,0,932.3,0,0,12/09/2026,0.291666667
Localidad: Cumbres,281,318,2.5,5,15.2,0,932.1,0,0,13/09/2026,0.284722222
Localidad: Cumbres,250,323,3.3,7.6,15,0,932,0,0,14/09/2026,0.277777778
Localidad: Cumbres,274,318,2.1,4.7,15.1,0,932.1,0,0,15/09/2026,0.270833333
Localidad: Cumbres,287,297,2.2,5.4,15.1,0,932,0,0,16/09/2026,0.263888889
Localidad: Cumbres,299,317,3.4,6.8,15,0,932,0,0,17/09/2026,0.256944444
Localidad: Cumbres,266,288,1.3,4.7,15.1,0,931.9,0,0,18/09/2026,0.25
Localidad: Cumbres,295,325,2.2,6.1,15.1,0,931.8,0,0,19/09/2026,0.243055556
Localidad: Cumbres,295,318,4.1,10.4,15.1,0,931.6,0,0,20/09/2026,0.236111111
Localidad: Cumbres,286,301,3.9,7.9,15.1,0,931.4,0,0,21/09/2026,0.229166667
Localidad: Cumbres,267,317,2.9,6.8,15.2,0,931.2,0,0,22/09/2026,0.222222222
Localidad: Cumbres,286,319,1.8,6.1,15.2,0,930.9,0,0,23/09/2026,0.215277778
Localidad: Cumbres,280,303,3.2,6.5,15.1,0,930.8,0,0,24/09/2026,0.208333333
Localidad: Cumbres,238,180,2.6,6.5,15.2,0,930.5,0,0,25/09/2026,0.201388889
Localidad: Cumbres,253,167,1.4,3.6,15.2,0,930.2,0,0,26/09/2026,0.194444444
Localidad: Cumbres,287,228,2.3,6.1,15.2,0,930.1,0,0,27/09/2026,0.1875
Localidad: Cumbres,287,309,2,5.4,15.3,0,930,0,0,28/09/2026,0.180555556
Localidad: Cumbres,246,202,3.2,6.1,15.3,0,929.9,0,0,29/09/2026,0.173611111
Localidad: Cumbres,277,196,1.2,3.2,15.3,0,929.8,0,0,30/09/2026,0.166666667
Localidad: Cumbres,291,348,2.3,5,15.3,0,930,0,0,01/10/2026,0.159722222
Localidad: Cumbres,268,221,1.7,4,15.4,0,930.1,0,0,02/10/2026,0.152777778
Localidad: Cumbres,212,147,1.1,4,15.5,0,930,0,0,03/10/2026,0.145833333
Localidad: Cumbres,246,336,2.3,5.4,15.5,0,930,0,0,04/10/2026,0.138888889
Localidad: Cumbres,242,318,2.2,4.7,15.6,0,930.2,0,0,05/10/2026,0.131944444
Localidad: Cumbres,225,212,3.7,9.7,15.5,8,930.3,0,0,06/10/2026,0.125
Localidad: Cumbres,279,312,3.8,9,15.5,25,930.6,0,0,07/10/2026,0.118055556
Localidad: Cumbres,266,306,3.1,6.8,15.6,32,930.7,0,0,08/10/2026,0.111111111
Localidad: Cumbres,293,321,2.9,7.2,15.7,44,930.7,0,0,09/10/2026,0.104166667
Localidad: Cumbres,274,300,1.5,4.3,16,15,930.9,0,0,10/10/2026,0.097222222
Localidad: Cumbres,265,292,2.6,7.2,16,6,931.1,0,0,11/10/2026,0.090277778
Localidad: Cumbres,257,296,2.7,8.3,15.9,34,931.1,0,0,12/10/2026,0.083333333
Localidad: Cumbres,269,315,3,5.8,16,49,931.1,0,0,13/10/2026,0.076388889
Localidad: Cumbres,352,332,1.3,3.6,16.2,40,931.1,0,0,14/10/2026,0.069444444
Localidad: Cumbres,293,313,2.2,8.3,16.2,50,931.3,0,0,15/10/2026,0.0625
Localidad: Cumbres,261,298,2.6,7.6,16.3,54,931.6,0,0,16/10/2026,0.055555556
Localidad: Cumbres,267,184,2.1,5,16.5,46,931.8,0,0,17/10/2026,0.048611111
Localidad: Cumbres,305,305,4.3,7.2,16.5,61,931.8,0,0,18/10/2026,0.041666667
Localidad: Cumbres,244,159,2.6,7.6,16.5,71,931.9,0,0,19/10/2026,0.034722222
Localidad: Cumbres,299,310,3.1,6.1,16.6,83,931.9,0,0,20/10/2026,0.027777778
Localidad: Cumbres,238,197,2.9,6.8,16.8,86,931.9,0,0,21/10/2026,0.020833333
Localidad: Cumbres,229,324,2.9,7.2,17,77,932.1,0,0,22/10/2026,0.013888889
Localidad: Cumbres,269,308,4.5,9,17,82,932.3,0,0,23/10/2026,0.006944444
Localidad: Cumbres,237,185,3.5,6.5,17,93,932.6,0,0,24/10/2026,0
Localidad: Cumbres,281,311,2.1,7.2,17.1,95,932.8,0,0,25/10/2026,0.993055556
Localidad: Cumbres,216,183,4.1,8.6,17.1,97,933,0,0,26/10/2026,0.986111111
Localidad: Cumbres,47,351,2.1,5.8,17.1,100,933.1,0,0,27/10/2026,0.979166667
Localidad: Cumbres,231,245,3.4,11.5,17.1,100,933,0,0,28/10/2026,0.972222222
Localidad: Cumbres,257,272,2,4.7,17.1,100,932.8,0,0,29/10/2026,0.965277778
Localidad: Cumbres,243,203,2.2,5,17.2,100,932.7,0,0,30/10/2026,0.958333333
Localidad: Cumbres,300,280,2.5,8.6,17.3,100,932.6,0,0,31/10/2026,0.951388889
Localidad: Cumbres,267,291,2.5,6.5,17.4,100,932.5,0,0,01/11/2026,0.944444444
Localidad: Cumbres,248,207,3.4,7.9,17.5,100,932.4,0,0,02/11/2026,0.9375
Localidad: Cumbres,207,201,3.3,7.6,17.6,100,932.3,0,0,03/11/2026,0.930555556
Localidad: Cumbres,316,307,2.9,5.8,17.7,100,932.1,0,0,04/11/2026,0.923611111
Localidad: Cumbres,281,325,3.3,7.6,17.9,100,932.1,0,0,05/11/2026,0.916666667
Localidad: Cumbres,235,170,2.8,6.8,18.1,100,932.1,0,0,06/11/2026,0.909722222
Localidad: Cumbres,277,280,2.2,5.8,18.4,100,932.1,0,0,07/11/2026,0.902777778
Localidad: Cumbres,233,214,2.6,7.9,18.6,100,931.8,0,0,08/11/2026,0.895833333
Localidad: Cumbres,259,223,1.7,7.6,18.8,100,931.8,0,0,09/11/2026,0.888888889
Localidad: Cumbres,267,213,3.6,7.9,19,100,931.8,0,0,10/11/2026,0.881944444
Localidad: Cumbres,270,310,2.5,6.5,19.3,100,931.5,0,0,11/11/2026,0.875
Localidad: Cumbres,248,212,1.9,5,19.6,100,931.6,0,0,12/11/2026,0.868055556
Localidad: Cumbres,300,298,4.7,11.9,19.8,100,931.5,0,0,13/11/2026,0.861111111
Localidad: Cumbres,360,30,4.2,10.1,20.1,100,931.2,0,0,14/11/2026,0.854166667
Localidad: Cumbres,328,308,3.6,9.7,20.4,100,931.1,0,0,15/11/2026,0.847222222
Localidad: Cumbres,8,354,4.1,13,20.7,100,931.1,0,0,16/11/2026,0.840277778
Localidad: Cumbres,1,341,4.4,11.5,21.1,100,931,0,0,17/11/2026,0.833333333
Localidad: Cumbres,244,243,2.2,7.6,21.6,100,930.9,0,0,18/11/2026,0.826388889
Localidad: Cumbres,28,28,5.4,15.8,22,100,930.9,0,0,19/11/2026,0.819444444
Localidad: Cumbres,1,36,7.7,21.2,22,100,930.8,0,0,20/11/2026,0.8125
Localidad: Cumbres,24,31,6.8,22,21.9,100,930.7,0,0,21/11/2026,0.805555556
Localidad: Cumbres,192,205,3.4,9,22.6,100,930.3,0,0,22/11/2026,0.798611111
Localidad: Cumbres,73,53,5.3,19.8,23.1,96,929.7,0,0,23/11/2026,0.791666667
Localidad: Cumbres,10,3,9.3,19.8,22.8,98,929.6,0,0,24/11/2026,0.784722222
Localidad: Cumbres,84,48,4,14.8,22.6,100,929.4,0,0,25/11/2026,0.777777778
Localidad: Cumbres,354,347,5.4,13,22.9,100,929.4,0,0,26/11/2026,0.770833333
Localidad: Cumbres,339,18,10,24.1,23.3,100,929.2,0,0,27/11/2026,0.763888889
Localidad: Cumbres,61,44,8.1,24.1,23.5,99,929.3,0,0,28/11/2026,0.756944444
Localidad: Cumbres,22,356,7.2,23.8,23.7,98,929.5,0,0,29/11/2026,0.75
Localidad: Cumbres,71,85,8.7,24.8,24,95,929.7,0,0,30/11/2026,0.743055556
Localidad: Cumbres,84,43,7.7,21.2,24.2,89,930.2,0,0,01/12/2026,0.736111111
Localidad: Cumbres,185,197,7.4,23.4,24.3,90,930.3,0,0,02/12/2026,0.729166667
Localidad: Cumbres,315,199,4.7,29.5,24.2,98,929.9,0.2,0,03/12/2026,0.722222222
Localidad: Cumbres,208,197,4.5,10.4,24.5,100,929.7,0,0,04/12/2026,0.715277778
Localidad: Cumbres,19,75,1.5,5,24.5,100,929.4,0,0,05/12/2026,0.708333333
Localidad: Cumbres,128,69,1.4,4.3,24.3,99,929.3,0,0,06/12/2026,0.701388889
Localidad: Cumbres,287,299,3.5,10.1,23.7,99,929.6,0,0,07/12/2026,0.694444444
Localidad: Cumbres,29,31,5.6,11.9,22.7,100,929.9,0,0,08/12/2026,0.6875
Localidad: Cumbres,302,316,5.6,13,22.3,100,930.1,0,0,09/12/2026,0.680555556
Localidad: Cumbres,214,152,5.1,12.2,22.5,100,930.4,0,0,10/12/2026,0.673611111
Localidad: Cumbres,9,353,2.7,9,22.7,100,930.7,0,0,11/12/2026,0.666666667
Localidad: Cumbres,316,340,3.5,8.3,23.2,100,930.3,0,0,12/12/2026,0.659722222
Localidad: Cumbres,196,202,4.2,8.3,23.6,100,930.6,0,0,13/12/2026,0.652777778
Localidad: Cumbres,39,28,6.1,18.4,23.8,100,930.6,0,0,14/12/2026,0.645833333
Localidad: Cumbres,82,357,4.2,16.6,24,100,930.5,0,0,15/12/2026,0.638888889
Localidad: Cumbres,187,188,2.4,8.3,24.3,99,930.8,0,0,16/12/2026,0.631944444
Localidad: Cumbres,189,202,4,7.9,24.6,99,931.1,0,0,17/12/2026,0.625
Localidad: Cumbres,135,311,1.3,4.7,24.9,95,931.5,0,0,18/12/2026,0.618055556
Localidad: Cumbres,178,188,2.6,6.8,25.3,87,931.5,0,0,19/12/2026,0.611111111
Localidad: Cumbres,277,263,1.3,3.2,25.3,82,931.4,0,0,20/12/2026,0.604166667
Localidad: Cumbres,219,206,1.9,4.7,25.2,83,931.3,0,0,21/12/2026,0.597222222
Localidad: Cumbres,136,180,2.1,4.3,25.5,83,931.4,0,0,22/12/2026,0.590277778
Localidad: Cumbres,169,169,1.2,2.9,25.2,86,931.5,0,0,23/12/2026,0.583333333
Localidad: Cumbres,59,58,1.8,4.7,25.3,90,931.6,0,0,24/12/2026,0.576388889
Localidad: Cumbres,20,50,1.8,5.4,25,91,931.5,0,0,25/12/2026,0.569444444
Localidad: Cumbres,268,236,2.3,4.3,24.1,100,931.7,0,0,26/12/2026,0.5625
Localidad: Cumbres,151,130,2.7,6.1,23.9,100,931.9,0,0,27/12/2026,0.555555556
Localidad: Cumbres,141,116,1.4,3.6,23.4,100,932,0,0,28/12/2026,0.548611111
Localidad: Cumbres,153,138,3.3,5.8,22.8,100,932.1,0,0,29/12/2026,0.541666667
Localidad: Cumbres,176,197,2.8,5.4,22.5,100,932.2,0,0,30/12/2026,0.534722222
Localidad: Cumbres,185,189,2.9,5,22.5,100,932.3,0,0,31/12/2026,0.527777778
Localidad: Cumbres,223,191,1.6,4,22.6,100,932.4,0,0,01/01/2027,0.520833333
Localidad: Cumbres,226,213,2,4,22.6,100,932.3,0,0,02/01/2027,0.513888889
Localidad: Cumbres,215,197,3.3,5.4,22.7,100,932.3,0,0,03/01/2027,0.506944444
Localidad: Cumbres,173,182,1.7,5,22.8,100,932.5,0,0,04/01/2027,0.5
Localidad: Cumbres,91,95,2.3,6.5,22.9,100,932.4,0,0,05/01/2027,0.493055556
Localidad: Cumbres,316,20,1.2,3.2,22.8,100,932.4,0,0,06/01/2027,0.486111111
Localidad: Cumbres,324,351,1.6,4.3,22.5,100,932.4,0,0,07/01/2027,0.479166667
Localidad: Cumbres,199,175,1.7,4.7,22.3,100,932.5,0,0,08/01/2027,0.472222222
Localidad: Cumbres,198,180,1.5,4,22,100,932.5,0,0,09/01/2027,0.465277778
Localidad: Cumbres,203,190,2.8,5.4,21.8,100,932.6,0,0,10/01/2027,0.458333333
Localidad: Cumbres,112,93,2.7,6.8,21.7,100,932.6,0,0,11/01/2027,0.451388889
Localidad: Cumbres,89,91,5.3,11.5,21.7,100,932.7,0,0,12/01/2027,0.444444444
Localidad: Cumbres,88,93,6,13,21.8,100,932.7,0,0,13/01/2027,0.4375
Localidad: Cumbres,86,72,6.5,18.7,21.9,100,932.6,0,0,14/01/2027,0.430555556
Localidad: Cumbres,116,75,2.7,6.8,21.8,100,932.5,0,0,15/01/2027,0.423611111
Localidad: Cumbres,79,54,5.6,14,21.7,100,932.6,0,0,16/01/2027,0.416666667
Localidad: Cumbres,97,95,4.1,9.7,21.7,100,932.7,0,0,17/01/2027,0.409722222
Localidad: Cumbres,135,94,3.9,12.2,21.7,100,932.8,0,0,18/01/2027,0.402777778
Localidad: Cumbres,101,98,3.8,9.7,21.7,100,932.8,0,0,19/01/2027,0.395833333
Localidad: Cumbres,76,74,6.3,13.3,21.7,49,932.8,0,0,20/01/2027,0.388888889
Localidad: Cumbres,76,62,3.9,10.4,21.3,0,932.6,0,0,21/01/2027,0.381944444
